Release_Date,Title,Popularity,Vote_Count,Vote_Average,Genre,Vote_Group,Release_Year
10-09-1992,Sex and Curse,14.998,0,0,"['Drama', 'Horror']",,1992
13-02-1998,The Wedding Singer,14.994,1359,6.8,"['Romance', 'Comedy']",Medium,1998
28-10-2017,The Fixies: Top Secret,14.993,21,6.6,"['Comedy', 'Family', 'Animation', 'Adventure']",Medium,2017
14-12-1988,Dirty Rotten Scoundrels,14.993,614,7.2,"['Crime', 'Comedy']",High,1988
19-08-2011,The Inbetweeners Movie,14.987,727,6.1,['Comedy'],Medium,2011
02-07-1992,"Justice, My Foot!",14.986,63,6.5,"['Comedy', 'Action']",Medium,1992
22-09-2017,Submergence,14.984,234,5.4,"['Drama', 'Thriller', 'Romance']",Medium,2017
06-08-1999,The Thomas Crown Affair,14.984,897,6.7,"['Drama', 'Crime', 'Romance']",Medium,1999
13-12-1989,Driving Miss Daisy,14.983,1199,7.3,['Drama'],High,1989
22-03-1985,Porky's 3: Revenge,14.982,177,5.5,['Comedy'],Medium,1985
15-08-1985,"Twinkle, Twinkle, Lucky Stars",14.981,80,6.7,"['Action', 'Comedy']",Medium,1985
22-06-2018,"Ruben Brandt, Collector",14.98,95,7.5,"['Animation', 'Action', 'Thriller', 'Crime']",High,2018
29-08-2019,Bacurau,14.979,825,7.8,"['Mystery', 'Western', 'Thriller']",High,2019
03-06-1955,The Seven Year Itch,14.978,644,7.1,"['Comedy', 'Romance']",High,1955
20-07-2022,Nope,14.977,0,0,"['Horror', 'Mystery', 'ScienceFiction', 'Thriller']",,2022
03-12-2021,The Scary of Sixty-First,14.977,52,5.9,"['Horror', 'Mystery', 'Thriller', 'Comedy']",Medium,2021
06-06-1975,Mandingo,14.977,85,6.7,"['History', 'Action', 'Romance', 'Drama']",Medium,1975
27-08-1952,The Crimson Pirate,14.977,91,6.9,"['Action', 'Adventure', 'Comedy', 'Drama']",Medium,1952
01-08-1978,Fairy Tales,14.976,33,6.5,"['Adventure', 'Comedy', 'Romance']",Medium,1978
07-06-2001,Monster's Ball,14.976,737,6.8,"['Drama', 'Romance']",Medium,2001
01-10-2018,Cam,14.975,1218,5.8,"['Mystery', 'Thriller', 'Horror']",Medium,2018
21-12-1963,"Yesterday, Today and Tomorrow",14.975,319,7.6,"['Drama', 'Comedy', 'Romance']",High,1963
09-10-2001,Children of the Corn: Revelation,14.975,75,4.1,['Horror'],Low,2001
17-05-2017,The Merciless,14.973,90,7.2,"['Action', 'Crime', 'Mystery']",High,2017
26-11-1938,Angels with Dirty Faces,14.973,217,7.7,"['Crime', 'Drama', 'Thriller']",High,1938
12-03-2021,Dark Web: Cicada 3301,14.972,70,6.4,"['Thriller', 'Action', 'Comedy']",Medium,2021
29-08-2000,Alvin and the Chipmunks Meet the Wolfman,14.972,146,6.9,"['Animation', 'Family', 'Fantasy', 'Music', 'Horror', 'Comedy']",Medium,2000
27-04-2006,Hatchet,14.972,481,5.9,"['Comedy', 'Horror']",Medium,2006
10-02-2002,Turn A Gundam II: Moonlight Butterfly,14.971,6,5.3,"['Animation', 'ScienceFiction']",Medium,2002
29-03-1970,Tristana,14.971,175,7.3,['Drama'],High,1970
02-08-1996,Chain Reaction,14.969,786,5.6,"['ScienceFiction', 'Action', 'Drama', 'Thriller']",Medium,1996
26-07-1990,Presumed Innocent,14.969,496,6.8,"['Thriller', 'Crime', 'Mystery']",Medium,1990
26-06-1975,Flatfoot in Hong Kong,14.969,104,6.2,"['Action', 'Comedy', 'Thriller', 'Drama']",Medium,1975
08-09-1993,Three Colors: Blue,14.969,1202,7.7,['Drama'],High,1993
01-01-2007,Swingers Sex Party,14.967,4,3.5,['Drama'],Low,2007
23-06-1965,Von Ryan's Express,14.967,150,7,"['War', 'Action', 'Drama', 'History', 'Thriller']",Medium,1965
01-11-1991,The People Under the Stairs,14.965,476,6.6,"['Comedy', 'Drama', 'Horror', 'Mystery', 'Thriller']",Medium,1991
01-03-1996,Up Close & Personal,14.964,169,6.4,"['Drama', 'Romance']",Medium,1996
14-08-1999,Revolutionary Girl Utena: The Adolescence of Utena,14.963,47,7.2,"['Animation', 'Fantasy', 'Action', 'Romance']",High,1999
12-01-2017,Bunyan and Babe,14.961,17,6.3,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",Medium,2017
09-01-2015,Bound,14.961,59,3.7,['Thriller'],Low,2015
17-07-2005,A Cock and Bull Story,14.96,103,6.4,['Comedy'],Medium,2005
15-05-1981,Happy Birthday to Me,14.958,119,6,"['Drama', 'Horror', 'Thriller', 'Mystery']",Medium,1981
05-03-1954,Creature from the Black Lagoon,14.957,531,6.9,"['Adventure', 'Horror', 'ScienceFiction']",Medium,1954
10-11-2017,The Bookshop,14.955,333,6.5,['Drama'],Medium,2017
10-02-1970,The Party at Kitty and Stud's,14.955,46,3.2,"['Comedy', 'Drama']",Low,1970
29-08-1965,Pierrot le Fou,14.953,617,7.5,"['Drama', 'Thriller']",High,1965
01-06-2007,Catacombs,14.951,150,4.5,"['Horror', 'Thriller']",Low,2007
08-03-2002,All About the Benjamins,14.951,125,5.9,"['Action', 'Adventure', 'Comedy']",Medium,2002
29-08-1958,Cat on a Hot Tin Roof,14.951,568,7.7,"['Drama', 'Romance']",High,1958
13-09-1996,Fly Away Home,14.95,357,6.9,"['Action', 'Adventure', 'Drama', 'Family']",Medium,1996
29-10-1953,How to Marry a Millionaire,14.949,382,6.9,"['Comedy', 'Romance']",Medium,1953
26-08-2022,Tad the Lost Explorer and the Mummy's Curse,14.948,0,0,"['Adventure', 'Animation', 'Comedy', 'Family']",,2022
18-04-2015,Crayon Shin-chan: My Moving Story! Cactus Large Attack!,14.948,32,7.4,"['Adventure', 'Animation', 'Comedy']",High,2015
